Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3AO2VZ5yoHfaOaBBDGQ5bl,"'64 aka Go","'64-'95","Lemon Jelly",2005-01-31,381840,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.464,0.937,5,-4.934,0,0.0397,0.00187,0.731,0.101,0.0344,110.999,4
spotify:track:0xP4G4BkbV7fI0CWlYJCBr,"'68 aka Only Time","'64-'95","Lemon Jelly",2005-01-31,396600,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.649,0.77,3,-7.724,1,0.0328,0.0971,0.75,0.112,0.537,117.998,4
spotify:track:2xx7OB3zpDbLEEJB09BQj3,"'75 aka Stay With You","'64-'95","Lemon Jelly",2005-01-31,371813,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.709,0.821,1,-7.919,1,0.0426,0.0312,0.763,0.127,0.301,126.006,4
spotify:track:2xx7OB3zpDbLEEJB09BQj3,"'75 aka Stay With You","'64-'95","Lemon Jelly",2005-01-31,371813,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.709,0.821,1,-7.919,1,0.0426,0.0312,0.763,0.127,0.301,126.006,4
spotify:track:18pB8XDAx7WuXxIO3U1pxp,"'76 aka The Slow Train","'64-'95","Lemon Jelly",2005-01-31,347773,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.744,0.962,4,-8.605,1,0.0788,0.317,0.852,0.0977,0.0751,140.015,4
spotify:track:6Cqmoj2WqLmw14IlWTVmSB,"'79 aka The Shouty Track","'64-'95","Lemon Jelly",2005-01-31,221400,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.373,0.896,9,-4.595,1,0.0471,0.0000137,0.748,0.494,0.107,96.982,4
spotify:track:7n6gRNkR5AesuxDG8utbUI,"'79 aka The Shouty Track","The Shouty Track","Lemon Jelly",2005-01-24,236573,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.38,0.911,9,-3.987,1,0.0425,0.0000136,0.802,0.0848,0.16,96.979,4
spotify:track:6yLZLH1djKNfzs6mIsvWJ3,"'88 aka Come Down On Me","'64-'95","Lemon Jelly",2005-01-31,350760,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.49,0.944,7,-7.409,1,0.0431,0.0000535,0.869,0.654,0.262,111.987,4
spotify:track:1Mz7aTxfDlLF2yZDaKiMzQ,"'90 aka A Man Like Me","'64-'95","Lemon Jelly",2005-01-31,309813,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.636,0.904,1,-6,1,0.0404,0.0138,0.919,0.0856,0.171,110.007,4
spotify:track:3wN4lRFIQqTIP8ByRjgLh5,"'93 aka Don't Stop Me Now","'64-'95","Lemon Jelly",2005-01-31,416253,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.751,0.91,0,-8.258,0,0.066,0.122,0.922,0.412,0.785,99.053,4
spotify:track:4H44fAkMB9dxuJmNqVEjw6,"'95 aka Make Things Right","'64-'95","Lemon Jelly",2005-01-31,359386,0,false,5forty,2012-10-25T03:11:22Z,"downtempo,plunderphonics,trip hop","XL Recordings",0.534,0.89,7,-8.454,1,0.0483,0.118,0.551,0.536,0.649,172.014,4
